Date,source,Author,Twitter.Retweet,Twitter.Followers,Twitter.Following,Hashtags,in_reply_to_screen_name,in_reply_to_user_id,reply_count,favorite_count,user_location,user_verified,user_listed_count,user_favourites_count,user_geo_enabled,Snippet
4/7/2019 9:20,Twitter for Android,Avi_141,438,469,1277,[],,,NULL,0,,FALSE,0,28833,FALSE,"RT @MrAndyNgo: Feb 2018 Tampa: Terri Silar said in viral post someone left monkey at her desk w/note: ""You are getting deported back to Afr…"
4/7/2019 9:20,TweetDeck,TampaBayInno,0,327,18,[],,,NULL,0,Ta,FALSE,8,101,FALSE,Meet in the startups in a Tampa Bay blockchain incubator
4/7/2019 9:18,Twitter for iPhone,kylerobertsonn,31,522,88,[],,,NULL,0,Broward FL,FALSE,4,5629,TRUE,"RT @TBLightning: We’ll open our First Round series against Columbus at home at @amaliearena on Wednesday, April 10! See ya there. ⚡️ #Stan…"
4/7/2019 9:15,Twitter for iPhone,RNCBuzz,0,69,983,[],,,NULL,1,I'm Behind You,FALSE,0,245,FALSE,I was in Florida visiting the rents last month (you’re never too old for Spring Break) and I saw an ad for this guy…
4/7/2019 9:15,Twitter for iPhone,TheConnorParker,31,949,705,[],,,NULL,0,"Tallahassee, FL",FALSE,2,7719,TRUE,"RT @TBLightning: We’ll open our First Round series against Columbus at home at @amaliearena on Wednesday, April 10! See ya there. ⚡️ #Stan…"
4/7/2019 9:14,Twitter for iPhone,TampaBayFamily,31,21571,21428,[],,,NULL,0,"Tampa Bay, FL",FALSE,237,8862,TRUE,"RT @TBLightning: We’ll open our First Round series against Columbus at home at @amaliearena on Wednesday, April 10! See ya there. ⚡️ #Stan…"
4/7/2019 9:14,Twitter for iPhone,ktdancer10,31,288,194,[],,,NULL,0,,FALSE,2,6545,FALSE,"RT @TBLightning: We’ll open our First Round series against Columbus at home at @amaliearena on Wednesday, April 10! See ya there. ⚡️ #Stan…"
4/7/2019 9:13,dlvr.it,GreaterTampaBay,0,267,13,[],,,NULL,0,"Florida, USA",FALSE,2,0,FALSE,"National Championship And More On The Line As Baylor, Notre Dame Square Off"
4/7/2019 9:12,Twitter for iPhone,jaxisking07,31,2109,2388,[],,,NULL,0,,FALSE,82,11783,TRUE,"RT @TBLightning: We’ll open our First Round series against Columbus at home at @amaliearena on Wednesday, April 10! See ya there. ⚡️ #Stan…"
4/7/2019 9:11,TweetDeck,RobMixer,5,11723,934,[],,,NULL,0,"Columbus, OH",TRUE,425,6646,TRUE,"RT @1stOhioBattery: Here's the Blue Jackets' complete first-round schedule against Tampa Bay, including game times, TV networks, and more.…"
4/7/2019 9:11,Buffer,1stOhioBattery,5,7784,236,[],,,NULL,21,"Columbus, OH",FALSE,107,1088,TRUE,"Here's the Blue Jackets' complete first-round schedule against Tampa Bay, including game times, TV networks, and mo…"
4/7/2019 9:10,Twitter for iPhone,TBLightning,31,688939,2771,[],TBLightning,28173550,NULL,337,Amalie Arena,TRUE,4597,4410,TRUE,"We’ll open our First Round series against Columbus at home at @amaliearena on Wednesday, April 10! See ya there.…"
