,id,Date,source,Author,Twitter.Retweet,Twitter.Followers,Twitter.Following,Hashtags,in_reply_to_screen_name,in_reply_to_user_id,reply_count,favorite_count,user_location,user_verified,user_listed_count,user_favourites_count,user_geo_enabled,Snippet
2163,1115376541515513856,2019/04/08 17:11:04,Twitter for iPhone,MadaleneMielke,4,1898,2655,[],,,NULL,0,"Washington, DC",False,61,14534,True,RT @TheYappie: 2020 WATCH: @GOP names Marcia Lee Kelly as president of the Republican National Convention in Charlotte. A first generation…
2164,1115375955223007233,2019/04/08 17:08:45,MLBNewsNow,MLB_News247,0,475,327,[],,,NULL,0,unit,False,7,0,False,Tampa Bay returns goalie to Syracuse Crunch - National Hockey League News -
2165,1115375782950387712,2019/04/08 17:08:03,dlvr.it,BiSH_ARTiCLES,0,9,7,[],,,NULL,0,,False,0,0,False,"In Redington Shores, the counterattack against Red Tide begins - Tampa Bay Times"
2166,1115375582638952454,2019/04/08 17:07:16,Twitter for iPhone,TheYappie,4,226,1686,[],,,NULL,5,In your inbox,False,3,18,False,2020 WATCH: @GOP names Marcia Lee Kelly as president of the Republican National Convention in Charlotte. A first ge…
2167,1115374953195552768,2019/04/08 17:04:46,SocialNewsDesk,BN9,2,372246,333,[],,,NULL,3,Tampa Bay area,True,1745,1154,True,"WATCH: Our @RICKELMHORST introduces you to Lakeland welder Brian Buttera, who is ready to dive into building custom…"
2168,1115374792092286976,2019/04/08 17:04:07,Twitter for iPhone,Goetzy2,8,277,305,"[{'text': 'CBJ', 'indices': [103, 107]}]",,,NULL,0,,False,3,23329,False,"RT @JacketsInsider: A look back at who was on the ice today, the PLD-Texier French connection, and the #CBJ thoughts on being the underdogs…"
2169,1115374458120761344,2019/04/08 17:02:48,Twitter for Android,Dantheman392,19,32,314,[],,,NULL,0,,False,0,603,False,RT @TBLightning: Don’t have a ticket to Game 1? Stick around at Curtis Hixon on Wednesday after the @cagetheelephant concert for a watch pa…
2170,1115373954628292609,2019/04/08 17:00:48,trueAnthem,TBBJnewsroom,0,52668,2827,[],,,NULL,2,"Tampa Bay, Florida",False,1002,3452,True,Shipping company slated to start Port Tampa Bay service cuts ties with Jacksonville port
2171,1115373879818633216,2019/04/08 17:00:30,Twitter for iPhone,Baycrab3,19,2619,3567,[],,,NULL,0,Florida!! ,False,155,240229,True,RT @TBLightning: Don’t have a ticket to Game 1? Stick around at Curtis Hixon on Wednesday after the @cagetheelephant concert for a watch pa…
2172,1115373826903302144,2019/04/08 17:00:17,Twitter for iPhone,StephieLynn1227,19,293,1372,[],,,NULL,0,,False,3,10426,False,RT @TBLightning: Don’t have a ticket to Game 1? Stick around at Curtis Hixon on Wednesday after the @cagetheelephant concert for a watch pa…
2173,1115373756162162690,2019/04/08 17:00:00,TweetDeck,TBLightning,19,688948,2771,[],,,NULL,93,Amalie Arena,True,4598,4410,True,Don’t have a ticket to Game 1? Stick around at Curtis Hixon on Wednesday after the @cagetheelephant concert for a w…
2174,1115373755969298437,2019/04/08 17:00:00,TweetDeck,KWKTFOX44,0,3641,1782,[],,,NULL,0,"Waco, TX",True,161,6682,False,.@BaylorWBB is back in Waco after a wild weekend in Tampa! @_NohelyMendoza_ shows us how the Waco community is reac…
